type;start_date;zipcode;visitation_sum;year
indoor;2019-02-01;77044;11145;2019
indoor;2019-02-01;77045;2728;2019
indoor;2019-02-01;77046;112002;2019
indoor;2019-02-01;77047;88376;2019
indoor;2019-02-01;77048;117;2019
indoor;2019-02-01;77049;0;2019
indoor;2019-02-01;77050;0;2019
indoor;2019-02-01;77051;0;2019
indoor;2019-02-01;77053;896;2019
indoor;2019-02-01;77054;160249621;2019
indoor;2019-02-01;77055;264794;2019
indoor;2019-02-01;77056;1740865;2019
indoor;2019-02-01;77057;951433;2019
indoor;2019-02-01;77058;1946748;2019
indoor;2019-02-01;77059;31077;2019
indoor;2019-02-01;77060;54028;2019
indoor;2019-02-01;77061;15503;2019
indoor;2019-02-01;77062;17330;2019
indoor;2019-02-01;77063;2539846;2019
indoor;2019-02-01;77064;235390;2019
indoor;2019-02-01;77065;735552;2019
indoor;2019-02-01;77066;133737;2019
indoor;2019-02-01;77067;9435;2019
indoor;2019-02-01;77068;214136;2019
indoor;2019-02-01;77069;22360;2019
indoor;2019-02-01;77070;992540;2019
indoor;2019-02-01;77071;12902;2019
indoor;2019-02-01;77072;84225;2019
indoor;2019-02-01;77073;34479;2019
indoor;2019-02-01;77074;661320;2019
indoor;2019-02-01;77075;25332;2019
indoor;2019-02-01;77076;4022;2019
indoor;2019-02-01;77077;901081;2019
indoor;2019-02-01;77078;4815;2019
indoor;2019-02-01;77079;372402;2019
indoor;2019-02-01;77080;122146;2019
indoor;2019-02-01;77081;113763;2019
indoor;2019-02-01;77082;301250;2019
indoor;2019-02-01;77083;126366;2019
indoor;2019-02-01;77084;1043144;2019
indoor;2019-02-01;77085;440;2019
indoor;2019-02-01;77086;2736;2019
indoor;2019-02-01;77087;47912;2019
indoor;2019-02-01;77088;10134;2019
indoor;2019-02-01;77089;184528;2019
indoor;2019-02-01;77090;835138;2019
indoor;2019-02-01;77091;1864;2019
indoor;2019-02-01;77092;153101;2019
indoor;2019-02-01;77093;5659;2019
